"ListName","ItemId","Title","MatchedPattern","Status","DeletedAt","DeletedByUPN"
"Projetos","7","Agente qual offer","Agente qual offer","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Projetos","8","Agente qual offer","Agente qual offer","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Projetos","9","Agente qual offer","Agente qual offer","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Projetos","10","Teste Opus T001 20260506","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Projetos","11","Teste Clean Flow Direct 20260506 1726","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Tarefas","3","Teste Projeto Inexistente","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Status Diario","1","STATUS-639136745484451781","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Riscos e Bloqueios","2","Teste Opus risco critico 20260506 1138","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Riscos e Bloqueios","3","Teste Opus risco nao critico 20260506","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Decisoes do Board","1","Teste Opus decisao aprovacao 20260506","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
"Decisoes do Board","2","Teste Opus decisao rejeicao 20260506","Teste","MarkedDeleted","2026-05-10T10:52:59","mbenicios@minsait.com"
