"Row","Time","ItemType","Id","Name","LocalizedName","OriginalName","Description","Status","ErrorCode","ErrorText"
"3","01:08:10.68","Transformar paquete","","RemoveParentContactMissingDependencyNode","Quitar nodo MissingDependency innecesario","","Quitar nodo MissingDependency innecesario","Procesado","",""
"4","01:08:10.68","Transformar paquete","","RemoveContactParentContactRelationship","Transformar paquete","","Transformar paquete","Procesado","",""
"5","01:08:10.68","Transformar paquete","","UpdateRolesDepthLevel","Transformar paquete","","Transformar paquete","Procesado","",""
"6","01:08:10.68","Validación de paquete","","XSDValidationHandler","Validación de paquete","","Valida el esquema del paquete de solución.","Procesado","",""
"7","01:08:10.68","Transformar paquete","","RemoveParentContactIdAttribute","Transformar paquete","","Transformar paquete","Procesado","",""
"8","01:08:10.68","Transformar paquete","","UpdateMacrosCategoryAttribute","Transformar paquete","","Transformar paquete","Procesado","",""
"9","01:08:11.69","Etiquetas","","","","","","Procesado","",""
"10","01:08:11.69","","","","","","","Procesado","",""
"11","01:08:17.60","Solución","","PMO_v11_Tarefas","PMO v1.1 - Task Management Topics","","","Procesado","",""
"12","01:08:24.57","Flujo de trabajo","{f5aab85e-ff46-f111-bec7-7ced8d955c6c}","PMO_PA_CheckInOnDemand","PMO_PA_CheckInOnDemand","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"13","01:08:27.26","Flujo de trabajo","{f5aab85e-ff46-f111-bec7-7ced8d955c6c}","PMO_PA_CheckInOnDemand","PMO_PA_CheckInOnDemand","","","Procesado","",""
"14","01:08:27.29","Flujo de trabajo","{e5381002-0547-f111-bec7-000d3abc5cc6}","PMO_PA_EscalarRiscoCritico","PMO_PA_EscalarRiscoCritico","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"15","01:08:29.13","Flujo de trabajo","{e5381002-0547-f111-bec7-000d3abc5cc6}","PMO_PA_EscalarRiscoCritico","PMO_PA_EscalarRiscoCritico","","","Procesado","",""
"16","01:08:29.17","Flujo de trabajo","{b308fe0b-0547-f111-bec7-7ced8d955c6c}","PMO_PA_RegistrarDecisaoBoard","PMO_PA_RegistrarDecisaoBoard","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"17","01:08:31.06","Flujo de trabajo","{b308fe0b-0547-f111-bec7-7ced8d955c6c}","PMO_PA_RegistrarDecisaoBoard","PMO_PA_RegistrarDecisaoBoard","","","Procesado","",""
"18","01:08:31.09","Flujo de trabajo","{9544f14b-3748-f111-bec7-6045bdf42cae}","PMO_PA_ListarTarefas","PMO_PA_ListarTarefas","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"19","01:08:33.06","Flujo de trabajo","{9544f14b-3748-f111-bec7-6045bdf42cae}","PMO_PA_ListarTarefas","PMO_PA_ListarTarefas","","","Procesado","",""
"20","01:08:33.10","Flujo de trabajo","{98408d55-3748-f111-bec7-000d3abc5cc6}","PMO_PA_AtualizarTarefa","PMO_PA_AtualizarTarefa","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"21","01:08:35.18","Flujo de trabajo","{98408d55-3748-f111-bec7-000d3abc5cc6}","PMO_PA_AtualizarTarefa","PMO_PA_AtualizarTarefa","","","Procesado","",""
"22","01:08:35.23","Flujo de trabajo","{42d9abd1-8849-f111-bec7-7ced8d955c6c}","Clean_PMO_PA_CriarTarefa","Clean_PMO_PA_CriarTarefa","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"23","01:08:37.20","Flujo de trabajo","{42d9abd1-8849-f111-bec7-7ced8d955c6c}","Clean_PMO_PA_CriarTarefa","Clean_PMO_PA_CriarTarefa","","","Procesado","",""
"24","01:08:37.23","Flujo de trabajo","{3104124d-364a-f111-bec7-7ced8d955c6c}","PMO_PA_CriarTarefa_V3","PMO_PA_CriarTarefa_V3","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"25","01:08:38.96","Flujo de trabajo","{3104124d-364a-f111-bec7-7ced8d955c6c}","PMO_PA_CriarTarefa_V3","PMO_PA_CriarTarefa_V3","","","Procesado","",""
"26","01:08:38.99","Flujo de trabajo","{39cf292d-c64c-f111-bec7-7ced8d955c6c}","PMO_PA_ConsultarPortfolio","PMO_PA_ConsultarPortfolio","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"27","01:08:40.92","Flujo de trabajo","{39cf292d-c64c-f111-bec7-7ced8d955c6c}","PMO_PA_ConsultarPortfolio","PMO_PA_ConsultarPortfolio","","","Procesado","",""
"28","01:08:40.93","Flujo de trabajo","{4a33b53e-c64c-f111-bec7-000d3abc5cc6}","PMO_PA_ConsultarProjeto","PMO_PA_ConsultarProjeto","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"29","01:08:45.03","Flujo de trabajo","{4a33b53e-c64c-f111-bec7-000d3abc5cc6}","PMO_PA_ConsultarProjeto","PMO_PA_ConsultarProjeto","","","Procesado","",""
"30","01:08:45.04","Flujo de trabajo","{ee732d46-c64c-f111-bec7-7ced8d955c6c}","PMO_PA_RegistrarRiscoBot","PMO_PA_RegistrarRiscoBot","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"31","01:08:47.23","Flujo de trabajo","{ee732d46-c64c-f111-bec7-7ced8d955c6c}","PMO_PA_RegistrarRiscoBot","PMO_PA_RegistrarRiscoBot","","","Procesado","",""
"32","01:08:47.26","Flujo de trabajo","{3ec37952-c64c-f111-bec7-000d3abc5cc6}","PMO_PA_RegistrarBloqueioBot","PMO_PA_RegistrarBloqueioBot","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
"33","01:08:49.06","Flujo de trabajo","{3ec37952-c64c-f111-bec7-000d3abc5cc6}","PMO_PA_RegistrarBloqueioBot","PMO_PA_RegistrarBloqueioBot","","","Procesado","",""
"34","01:08:49.07","Flujo de trabajo","{feb79d54-c64c-f111-bec7-7ced8d955c6c}","PMO_PA_PedirDecisaoBot","PMO_PA_PedirDecisaoBot","","","Procesado","0x80045042","The original workflow definition has been deactivated and replaced."
