"ID","ProjectID","NomeProjeto","Title","PM","Prioridade","StatusRAG","Percentual","Ativo","Deleted","Created","Modified"
"5","PRJ-005","Automação RPA Financeiro",,"Microsoft.SharePoint.Client.FieldUserValue","Alta","Amarelo","55","True","False","02/05/2026 15:01:54","08/05/2026 23:26:33"
"4","PRJ-004","Data Lake Analytics",,"Microsoft.SharePoint.Client.FieldUserValue","Media","Verde","80","True","False","02/05/2026 15:01:53","08/05/2026 23:26:04"
"2","PRJ-002","Migração Cloud Azure",,"Microsoft.SharePoint.Client.FieldUserValue","Alta","Amarelo","40","True","False","02/05/2026 15:01:49","08/05/2026 23:26:22"
"1","PRJ-001","Mobile App Corporativo",,"Microsoft.SharePoint.Client.FieldUserValue","Alta","Verde","65","True","False","02/05/2026 15:01:47","08/05/2026 23:25:48"
"3","PRJ-003","Portal do Colaborador",,"Microsoft.SharePoint.Client.FieldUserValue","Media","Vermelho","25","True","False","02/05/2026 15:01:51","08/05/2026 23:26:47"
"24","PRJ-6604C20A","Projeto Smoke Delete Parcial 2.3","Projeto Smoke Delete Parcial 2.3","Microsoft.SharePoint.Client.FieldUserValue","Alta","Verde","0","True","False","12/05/2026 00:48:45","12/05/2026 11:05:49"
"19","PRJ-FFF50D08","Projeto Smoke v112 Final","Projeto Smoke v112 Final","Microsoft.SharePoint.Client.FieldUserValue","Alta","Verde","0","True","False","11/05/2026 16:52:39","11/05/2026 16:52:39"
"20","PRJ-E9F77C04","Projeto Smoke v112 Final","Projeto Smoke v112 Final","Microsoft.SharePoint.Client.FieldUserValue","Alta","Verde","0","True","False","11/05/2026 16:54:48","11/05/2026 23:56:05"
"21","PRJ-2CA883CF","Projeto Smoke v113 Cancel","Projeto Smoke v113 Cancel","Microsoft.SharePoint.Client.FieldUserValue","Alta","Verde","0","True","False","11/05/2026 18:26:13","11/05/2026 18:26:13"
"23","PRJ-3D73DF3B","projeto=Projeto Smoke v113 Cancel","projeto=Projeto Smoke v113 Cancel","Microsoft.SharePoint.Client.FieldUserValue","Baixa","Verde","0","True","False","12/05/2026 00:20:14","12/05/2026 00:20:14"
"15","PRJ-6141FC2B","Teste ColdStart Fix","Teste ColdStart Fix",,"Media",,,"True","False","10/05/2026 21:30:19","10/05/2026 21:30:19"
"14","PRJ-4C7D8465","Teste Fix Codex","Teste Fix Codex",,"Media",,,"True","False","10/05/2026 20:50:52","10/05/2026 20:50:52"
"18","PRJ-5E7C4110","Teste Smoke Final V5","Teste Smoke Final V5","Microsoft.SharePoint.Client.FieldUserValue","Alta","Amarelo","35","True","False","11/05/2026 04:16:55","11/05/2026 16:40:52"
"16","PRJ-045ACC71","Teste Smoke Session20B","Teste Smoke Session20B",,"Media",,,"True","False","11/05/2026 02:00:08","11/05/2026 02:00:08"
"17","PRJ-4521EE9C","Teste Smoke Session20C","Teste Smoke Session20C",,"Alta",,,"True","False","11/05/2026 02:12:29","11/05/2026 02:12:29"
