"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Decisoes do Board","Id. de tipos de contenido","ContentTypeId","ContentTypeId","False","True","True",,""
"Decisoes do Board","Título","Title","Text","True","False","False",,""
"Decisoes do Board","Comentarios del aprobador","_ModerationComments","Note","False","True","True",,""
"Decisoes do Board","Tipo de archivo","File_x0020_Type","Text","False","True","True",,""
"Decisoes do Board","Color","_ColorHex","Text","False","True","True",,""
"Decisoes do Board","Etiqueta de color","_ColorTag","Text","False","True","False",,""
"Decisoes do Board","Emoji","_Emoji","Text","False","True","True",,""
"Decisoes do Board","Id. de activo de cumplimiento normativo","ComplianceAssetId","Text","False","True","False",,""
"Decisoes do Board","DecisionID","DecisionID","Text","True","False","False",,""
"Decisoes do Board","ProjectID","ProjectID","Text","True","False","False",,""
"Decisoes do Board","Descricao","Descricao","Note","True","False","False",,""
"Decisoes do Board","Solicitante","Solicitante","User","True","False","False",,""
"Decisoes do Board","Aprovador","Aprovador","User","True","False","False",,""
"Decisoes do Board","Prazo","Prazo","DateTime","False","False","False",,""
"Decisoes do Board","Status","StatusDecisao","Choice","True","False","False",,"Pendente|Aprovada|Rejeitada|Adiada|Cancelada"
"Decisoes do Board","Resposta","Resposta","Note","False","False","False",,""
"Decisoes do Board","DataResposta","DataResposta","DateTime","False","False","False",,""
"Decisoes do Board","Impacto","Impacto","Choice","False","False","False",,"Baixo|Medio|Alto|Critico"
"Decisoes do Board","Justificativa","Justificativa","Note","False","False","False",,""
"Decisoes do Board","ApproverUPN","ApproverUPN","Text","False","False","False",,""
"Decisoes do Board","CardVersion","CardVersion","Text","False","False","False",,""
"Decisoes do Board","ResponseSource","ResponseSource","Choice","False","False","False",,"AdaptiveCard|CopilotStudio|Manual"
"Decisoes do Board","Deleted","Deleted","Boolean","False","False","False","0",""
"Decisoes do Board","DeletedAt","DeletedAt","DateTime","False","False","False",,""
"Decisoes do Board","DeletedReason","DeletedReason","Text","False","False","False",,""
"Decisoes do Board","DeletedByUPN","DeletedByUPN","Text","False","False","False",,""
"Decisoes do Board","ID","ID","Counter","False","True","False",,""
"Decisoes do Board","Tipo de contenido","ContentType","Computed","False","False","False",,""
"Decisoes do Board","Modificado","Modified","DateTime","False","True","False",,""
"Decisoes do Board","Creado","Created","DateTime","False","True","False",,""
"Decisoes do Board","Creado por","Author","User","False","True","False",,""
"Decisoes do Board","Modificado por","Editor","User","False","True","False",,""
"Decisoes do Board","Tiene destinos de copia","_HasCopyDestinations","Boolean","False","True","True",,""
"Decisoes do Board","Copiar origen","_CopySource","Text","False","True","True",,""
"Decisoes do Board","owshiddenversion","owshiddenversion","Integer","False","True","True",,""
"Decisoes do Board","Versión del flujo de trabajo","WorkflowVersion","Integer","False","True","True",,""
"Decisoes do Board","Versión de IU","_UIVersion","Integer","False","True","True",,""
"Decisoes do Board","Versión","_UIVersionString","Text","False","True","False",,""
"Decisoes do Board","Datos adjuntos","Attachments","Attachments","False","False","False",,""
"Decisoes do Board","Estado de aprobación","_ModerationStatus","ModStat","False","True","True","0","0;#Aprobado|1;#Rechazado|2;#En espera|3;#Borrador|4;#Programado"
"Decisoes do Board","Editar","Edit","Computed","False","True","False",,""
"Decisoes do Board","Título","LinkTitleNoMenu","Computed","False","True","False",,""
"Decisoes do Board","Título","LinkTitle","Computed","False","True","False",,""
"Decisoes do Board","Título","LinkTitle2","Computed","False","True","True",,""
