"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Projetos","Id. de tipos de contenido","ContentTypeId","ContentTypeId","False","True","True",,""
"Projetos","Título","Title","Text","True","False","False",,""
"Projetos","Comentarios del aprobador","_ModerationComments","Note","False","True","True",,""
"Projetos","Tipo de archivo","File_x0020_Type","Text","False","True","True",,""
"Projetos","Color","_ColorHex","Text","False","True","True",,""
"Projetos","Etiqueta de color","_ColorTag","Text","False","True","False",,""
"Projetos","Emoji","_Emoji","Text","False","True","True",,""
"Projetos","Id. de activo de cumplimiento normativo","ComplianceAssetId","Text","False","True","False",,""
"Projetos","ProjectID","ProjectID","Text","True","False","False",,""
"Projetos","Nome","NomeProjeto","Text","True","False","False",,""
"Projetos","PM","PM","User","True","False","False",,""
"Projetos","Sponsor","Sponsor","User","False","False","False",,""
"Projetos","StatusRAG","StatusRAG","Choice","True","False","False",,"Verde|Amarelo|Vermelho"
"Projetos","Percentual","Percentual","Number","False","False","False",,""
"Projetos","DataAlvo","DataAlvo","DateTime","False","False","False",,""
"Projetos","UltimaAtualizacao","UltimaAtualizacao","DateTime","False","False","False",,""
"Projetos","Ativo","Ativo","Boolean","False","False","False",,""
"Projetos","Unidade","Unidade","Choice","False","False","False",,"TI|Digital|Dados|Infra|Seguranca"
"Projetos","Prioridade","Prioridade","Choice","False","False","False",,"Alta|Media|Baixa"
"Projetos","PlannerGroupId","PlannerGroupId","Text","False","False","False",,""
"Projetos","PlannerPlanId","PlannerPlanId","Text","False","False","False",,""
"Projetos","LinkPlanner","LinkPlanner","URL","False","False","False",,""
"Projetos","TarefasTotal","TarefasTotal","Number","False","False","False",,""
"Projetos","TarefasAbertas","TarefasAbertas","Number","False","False","False",,""
"Projetos","TarefasConcluidas","TarefasConcluidas","Number","False","False","False",,""
"Projetos","TarefasAtrasadas","TarefasAtrasadas","Number","False","False","False",,""
"Projetos","PlannerLastSyncAt","PlannerLastSyncAt","DateTime","False","False","False",,""
