"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Riscos e Bloqueios","Id. de tipos de contenido","ContentTypeId","ContentTypeId","False","True","True",,""
"Riscos e Bloqueios","Título","Title","Text","True","False","False",,""
"Riscos e Bloqueios","Comentarios del aprobador","_ModerationComments","Note","False","True","True",,""
"Riscos e Bloqueios","Tipo de archivo","File_x0020_Type","Text","False","True","True",,""
"Riscos e Bloqueios","Color","_ColorHex","Text","False","True","True",,""
"Riscos e Bloqueios","Etiqueta de color","_ColorTag","Text","False","True","False",,""
"Riscos e Bloqueios","Emoji","_Emoji","Text","False","True","True",,""
"Riscos e Bloqueios","Id. de activo de cumplimiento normativo","ComplianceAssetId","Text","False","True","False",,""
"Riscos e Bloqueios","RiskID","RiskID","Text","True","False","False",,""
"Riscos e Bloqueios","ProjectID","ProjectID","Text","True","False","False",,""
"Riscos e Bloqueios","Tipo","Tipo","Choice","True","False","False",,"Risco|Bloqueio"
"Riscos e Bloqueios","Severidade","Severidade","Choice","True","False","False",,"Baixa|Media|Alta|Critica"
"Riscos e Bloqueios","Descricao","Descricao","Note","True","False","False",,""
"Riscos e Bloqueios","Impacto","Impacto","Choice","False","False","False",,"Baixo|Medio|Alto|Critico"
"Riscos e Bloqueios","Probabilidade","Probabilidade","Choice","False","False","False",,"Baixa|Media|Alta"
"Riscos e Bloqueios","Owner","Owner","User","False","False","False",,""
"Riscos e Bloqueios","DataCriacao","DataCriacao","DateTime","True","False","False",,""
"Riscos e Bloqueios","SLA","SLA","DateTime","False","False","False",,""
"Riscos e Bloqueios","Status","StatusRisco","Choice","True","False","False",,"Aberto|Em Mitigacao|Escalado|Resolvido|Aceito"
"Riscos e Bloqueios","PlanoMitigacao","PlanoMitigacao","Note","False","False","False",,""
"Riscos e Bloqueios","EscaladoPara","EscaladoPara","User","False","False","False",,""
"Riscos e Bloqueios","Deleted","Deleted","Boolean","False","False","False","0",""
"Riscos e Bloqueios","DeletedAt","DeletedAt","DateTime","False","False","False",,""
"Riscos e Bloqueios","DeletedReason","DeletedReason","Text","False","False","False",,""
"Riscos e Bloqueios","DeletedByUPN","DeletedByUPN","Text","False","False","False",,""
"Riscos e Bloqueios","ID","ID","Counter","False","True","False",,""
"Riscos e Bloqueios","Tipo de contenido","ContentType","Computed","False","False","False",,""
"Riscos e Bloqueios","Modificado","Modified","DateTime","False","True","False",,""
"Riscos e Bloqueios","Creado","Created","DateTime","False","True","False",,""
"Riscos e Bloqueios","Creado por","Author","User","False","True","False",,""
"Riscos e Bloqueios","Modificado por","Editor","User","False","True","False",,""
"Riscos e Bloqueios","Tiene destinos de copia","_HasCopyDestinations","Boolean","False","True","True",,""
"Riscos e Bloqueios","Copiar origen","_CopySource","Text","False","True","True",,""
"Riscos e Bloqueios","owshiddenversion","owshiddenversion","Integer","False","True","True",,""
"Riscos e Bloqueios","Versión del flujo de trabajo","WorkflowVersion","Integer","False","True","True",,""
"Riscos e Bloqueios","Versión de IU","_UIVersion","Integer","False","True","True",,""
"Riscos e Bloqueios","Versión","_UIVersionString","Text","False","True","False",,""
