"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Status Diario","Id. de tipos de contenido","ContentTypeId","ContentTypeId","False","True","True",,""
"Status Diario","Título","Title","Text","True","False","False",,""
"Status Diario","Comentarios del aprobador","_ModerationComments","Note","False","True","True",,""
"Status Diario","Tipo de archivo","File_x0020_Type","Text","False","True","True",,""
"Status Diario","Color","_ColorHex","Text","False","True","True",,""
"Status Diario","Etiqueta de color","_ColorTag","Text","False","True","False",,""
"Status Diario","Emoji","_Emoji","Text","False","True","True",,""
"Status Diario","Id. de activo de cumplimiento normativo","ComplianceAssetId","Text","False","True","False",,""
"Status Diario","StatusID","StatusID","Text","True","False","False",,""
"Status Diario","ProjectID","ProjectID","Text","True","False","False",,""
"Status Diario","DataRegistro","DataRegistro","DateTime","True","False","False",,""
"Status Diario","PM","PM","User","False","False","False",,""
"Status Diario","RAG","RAG","Choice","True","False","False",,"Verde|Amarelo|Vermelho"
"Status Diario","Resumo","Resumo","Note","True","False","False",,""
"Status Diario","Risco","Risco","Note","False","False","False",,""
"Status Diario","Bloqueio","Bloqueio","Note","False","False","False",,""
"Status Diario","ProximaAcao","ProximaAcao","Note","False","False","False",,""
"Status Diario","Percentual","Percentual","Number","False","False","False",,""
"Status Diario","OrigemEntrada","OrigemEntrada","Choice","True","False","False",,"AdaptiveCard|CopilotStudio|FormsFallback|ManualPMO|ImportacaoInicial"
"Status Diario","ResumoTarefas","ResumoTarefas","Note","False","False","False",,""
"Status Diario","CardVersion","CardVersion","Text","False","False","False",,""
"Status Diario","Deleted","Deleted","Boolean","False","False","False","0",""
"Status Diario","DeletedAt","DeletedAt","DateTime","False","False","False",,""
"Status Diario","DeletedReason","DeletedReason","Text","False","False","False",,""
"Status Diario","DeletedByUPN","DeletedByUPN","Text","False","False","False",,""
"Status Diario","ID","ID","Counter","False","True","False",,""
"Status Diario","Tipo de contenido","ContentType","Computed","False","False","False",,""
"Status Diario","Modificado","Modified","DateTime","False","True","False",,""
"Status Diario","Creado","Created","DateTime","False","True","False",,""
"Status Diario","Creado por","Author","User","False","True","False",,""
"Status Diario","Modificado por","Editor","User","False","True","False",,""
"Status Diario","Tiene destinos de copia","_HasCopyDestinations","Boolean","False","True","True",,""
"Status Diario","Copiar origen","_CopySource","Text","False","True","True",,""
"Status Diario","owshiddenversion","owshiddenversion","Integer","False","True","True",,""
"Status Diario","Versión del flujo de trabajo","WorkflowVersion","Integer","False","True","True",,""
"Status Diario","Versión de IU","_UIVersion","Integer","False","True","True",,""
"Status Diario","Versión","_UIVersionString","Text","False","True","False",,""
"Status Diario","Datos adjuntos","Attachments","Attachments","False","False","False",,""
"Status Diario","Estado de aprobación","_ModerationStatus","ModStat","False","True","True","0","0;#Aprobado|1;#Rechazado|2;#En espera|3;#Borrador|4;#Programado"
"Status Diario","Editar","Edit","Computed","False","True","False",,""
"Status Diario","Título","LinkTitleNoMenu","Computed","False","True","False",,""
"Status Diario","Título","LinkTitle","Computed","False","True","False",,""
"Status Diario","Título","LinkTitle2","Computed","False","True","True",,""
"Status Diario","Seleccionar","SelectTitle","Computed","False","True","True",,""
"Status Diario","Id. de instancia","InstanceID","Integer","False","True","True",,""
"Status Diario","Orden","Order","Number","False","False","True",,""
"Status Diario","GUID","GUID","Guid","False","True","True",,""
"Status Diario","Id. de instancia de flujo de trabajo","WorkflowInstanceID","Guid","False","True","True",,""
"Status Diario","Dirección URL","FileRef","Lookup","False","True","True",,""
"Status Diario","Ruta de acceso","FileDirRef","Lookup","False","True","True",,""
"Status Diario","Modificado","Last_x0020_Modified","Lookup","False","True","True",,""
"Status Diario","Creado","Created_x0020_Date","Lookup","False","True","True",,""
"Status Diario","Tipo de elemento","FSObjType","Lookup","False","True","True",,""
"Status Diario","Tipo de ordenación","SortBehavior","Lookup","False","True","True",,""
"Status Diario","Máscara de permisos efectivos","PermMask","Computed","False","True","True",,""
"Status Diario","Recuento de entidades de seguridad","PrincipalCount","Computed","False","True","True",,""
"Status Diario","Nombre","FileLeafRef","File","False","False","True",,""
"Status Diario","Id. único","UniqueId","Lookup","False","True","True",,""
"Status Diario","Identificador primario de documento","ParentUniqueId","Lookup","False","True","True",,""
"Status Diario","Identificador del cliente","SyncClientId","Lookup","False","True","True",,""
"Status Diario","ProgId","ProgId","Lookup","False","True","True",,""
"Status Diario","ScopeId","ScopeId","Lookup","False","True","True",,""
"Status Diario","Tipo de archivo HTML","HTML_x0020_File_x0020_Type","Computed","False","True","True",,""
"Status Diario","Editar inicio de tabla de menús","_EditMenuTableStart","Computed","False","True","True",,""
"Status Diario","Editar inicio de tabla de menús","_EditMenuTableStart2","Computed","False","True","True",,""
"Status Diario","Editar fin de tabla de menús","_EditMenuTableEnd","Computed","False","True","True",,""
"Status Diario","Nombre","LinkFilenameNoMenu","Computed","False","True","True",,""
"Status Diario","Nombre","LinkFilename","Computed","False","True","True",,""
"Status Diario","Nombre","LinkFilename2","Computed","False","True","True",,""
"Status Diario","Tipo","DocIcon","Computed","False","True","False",,""
"Status Diario","Dirección URL relativa al servidor","ServerUrl","Computed","False","True","True",,""
"Status Diario","Dirección URL absoluta codificada","EncodedAbsUrl","Computed","False","True","True",,""
"Status Diario","Nombre de archivo","BaseName","Computed","False","True","True",,""
"Status Diario","Contenedor de propiedades","MetaInfo","Lookup","False","False","True",,""
"Status Diario","Nivel","_Level","Integer","False","True","True",,""
"Status Diario","es la versión actual","_IsCurrentVersion","Boolean","False","True","True",,""
"Status Diario","Número secundario de elemento","ItemChildCount","Lookup","False","True","False",,""
"Status Diario","Recuento secundario de carpetas","FolderChildCount","Lookup","False","True","False",,""
"Status Diario","Restringido","Restricted","Lookup","False","True","True",,""
"Status Diario","Identificador del originador","OriginatorId","Lookup","False","True","True",,""
"Status Diario","NoExecute","NoExecute","Lookup","False","True","True",,""
"Status Diario","Versión del contenido","ContentVersion","Lookup","False","True","True",,""
"Status Diario","Configuración de la etiqueta","_ComplianceFlags","Lookup","False","True","False",,""
"Status Diario","Etiqueta de retención","_ComplianceTag","Lookup","False","True","False",,""
"Status Diario","Etiqueta de retención aplicada","_ComplianceTagWrittenTime","Lookup","False","True","False",,""
"Status Diario","Usuario que ha aplicado la etiqueta:","_ComplianceTagUserId","Lookup","False","True","False",,""
"Status Diario","El elemento es un registro","_IsRecord","Computed","False","True","False",,""
"Status Diario","Directiva de acceso","AccessPolicy","Lookup","False","True","True",,""
"Status Diario","VirusStatus","_VirusStatus","Lookup","False","True","True",,""
"Status Diario","VirusVendorID","_VirusVendorID","Lookup","False","True","True",,""
"Status Diario","VirusInfo","_VirusInfo","Lookup","False","True","True",,""
"Status Diario","RansomwareAnomalyMetaInfo","_RansomwareAnomalyMetaInfo","Lookup","False","True","True",,""
"Status Diario","Id. de propietario del borrador","_DraftOwnerId","Lookup","False","True","True",,""
"Status Diario","Configuración del vínculo principal","MainLinkSettings","Computed","False","True","True",,""
"Status Diario","Aplicación creada por","AppAuthor","Lookup","False","True","False",,""
"Status Diario","Aplicación modificada por","AppEditor","Lookup","False","True","False",,""
"Status Diario","Tamaño total","SMTotalSize","Lookup","False","True","True",,""
"Status Diario","Última modificación","SMLastModifiedDate","Lookup","False","True","True",,""
"Status Diario","Tamaño total de las secuencias de archivo","SMTotalFileStreamSize","Lookup","False","True","True",,""
