"ListTitle","Title","InternalName","TypeAsString","Required","ReadOnlyField","Hidden","DefaultValue","Choices"
"Tarefas","Id. de tipos de contenido","ContentTypeId","ContentTypeId","False","True","True",,""
"Tarefas","Título","Title","Text","True","False","False",,""
"Tarefas","Comentarios del aprobador","_ModerationComments","Note","False","True","True",,""
"Tarefas","Tipo de archivo","File_x0020_Type","Text","False","True","True",,""
"Tarefas","Color","_ColorHex","Text","False","True","True",,""
"Tarefas","Etiqueta de color","_ColorTag","Text","False","True","False",,""
"Tarefas","Emoji","_Emoji","Text","False","True","True",,""
"Tarefas","Id. de activo de cumplimiento normativo","ComplianceAssetId","Text","False","True","False",,""
"Tarefas","ProjectID","ProjectID","Text","True","False","False",,""
"Tarefas","Responsavel","Responsavel","Text","False","False","False",,""
"Tarefas","DataInicio","DataInicio","DateTime","False","False","False",,""
"Tarefas","DataFim","DataFim","DateTime","False","False","False",,""
"Tarefas","HorasEstimadas","HorasEstimadas","Number","False","False","False","0",""
"Tarefas","HorasRealizadas","HorasRealizadas","Number","False","False","False","0",""
"Tarefas","Status","Status","Choice","True","False","False","Pendente","Pendente|Em Andamento|ConcluÃ­da|Cancelada"
"Tarefas","Prioridade","Prioridade","Choice","False","False","False",,"Baixa|MÃ©dia|Alta|CrÃ­tica"
"Tarefas","Deleted","Deleted","Boolean","False","False","False","0",""
"Tarefas","DeletedAt","DeletedAt","DateTime","False","False","False",,""
"Tarefas","DeletedReason","DeletedReason","Text","False","False","False",,""
"Tarefas","DeletedByUPN","DeletedByUPN","Text","False","False","False",,""
"Tarefas","ID","ID","Counter","False","True","False",,""
"Tarefas","Tipo de contenido","ContentType","Computed","False","False","False",,""
"Tarefas","Modificado","Modified","DateTime","False","True","False",,""
"Tarefas","Creado","Created","DateTime","False","True","False",,""
"Tarefas","Creado por","Author","User","False","True","False",,""
"Tarefas","Modificado por","Editor","User","False","True","False",,""
"Tarefas","Tiene destinos de copia","_HasCopyDestinations","Boolean","False","True","True",,""
"Tarefas","Copiar origen","_CopySource","Text","False","True","True",,""
"Tarefas","owshiddenversion","owshiddenversion","Integer","False","True","True",,""
"Tarefas","Versión del flujo de trabajo","WorkflowVersion","Integer","False","True","True",,""
"Tarefas","Versión de IU","_UIVersion","Integer","False","True","True",,""
"Tarefas","Versión","_UIVersionString","Text","False","True","False",,""
"Tarefas","Datos adjuntos","Attachments","Attachments","False","False","False",,""
"Tarefas","Estado de aprobación","_ModerationStatus","ModStat","False","True","True","0","0;#Aprobado|1;#Rechazado|2;#En espera|3;#Borrador|4;#Programado"
"Tarefas","Editar","Edit","Computed","False","True","False",,""
"Tarefas","Título","LinkTitleNoMenu","Computed","False","True","False",,""
