Connected as mbenicios@minsait.com
Connected to... ColOfertasBrasilPro

botcomponentid                       botcomponent_workflowid              bc.name                                   bc.componenttype wf.statuscode workflowid                           wf.statecode wf.name                                                   bc.schemaname
2bdda8a6-fb15-4d5d-b2d4-605afa1cab61 b72c9da0-2241-f111-88b5-7ced8d955c6c GF_QA_Report-FeriasProximas               Tema (V2)        Activado      e3658a14-2241-f111-88b5-7ced8d955c6c Activado     GF_QA_Report-FeriasProximas                               gstf_GestaoFriasMVPQA.action.GF_QA_Report-FeriasProximas
e392b340-f501-4000-b3f1-45da13760308 261abd06-683f-f111-88b5-7ced8d955c6c Aprovar-SolicitacaoFerias                 Tema (V2)        Activado      a8e71266-823d-4c96-8b93-1c1e6ddf6bdf Activado     Aprovar-SolicitacaoFerias                                 gstf_GestaoFriasMVPQA.action.Aprovar-SolicitacaoFerias
d047ed36-7699-48be-8f9e-b9f0bdd8e747 1fc68a8f-dd14-f111-8341-7ced8d955c6c Get-SolicitacoesPendentes                 Tema (V2)        Activado      9c2bf0d8-97af-44c9-8c87-40ea147ea613 Activado     Get-SolicitacoesPendentes                                 copilots_header_crbdf_agent1.action.Get-SolicitacoesPendentes
d428b54a-bce7-438b-8c4b-9cdeeeaab558 bbcb506b-c914-f111-8341-7ced8d955c6c Ver Minhas Solicitações                   Tema (V2)        Activado      3347108a-2ecd-4ce7-9d7a-2a36d2980593 Activado     Get-MinhasSolicitacoes                                    copilots_header_crbdf_agent1.topic.VerMinhasSolicitaes_DEE
1483965f-60b9-4ee3-9e71-8a3d1a508757 84bf5763-c814-f111-8341-7ced8d955c6c Aprovar Ferias                            Tema (V2)        Activado      9c2bf0d8-97af-44c9-8c87-40ea147ea613 Activado     Get-SolicitacoesPendentes                                 copilots_header_crbdf_agent1.topic.AprovarFerias
1e198128-721e-4f33-a68a-a257feb0c5cc 060099a9-644e-f111-bec6-7ced8d5b8fbc PMO_PA_CriarProjeto                       Tema (V2)        Activado      3104124d-364a-f111-bec7-7ced8d955c6c Activado     PMO_PA_CriarProjeto                                       pmo_AssistentePMO_V2.action.PMO_PA_CriarProjeto
b624ab2c-8817-45ae-9399-c0b78d9f3eca d3ba56a3-644e-f111-bec6-7ced8d5b8fbc PMO_PA_CriarTarefa                        Tema (V2)        Activado      0a5d2a41-24c0-4d5e-9f6d-000000000241 Activado     PMO_PA_CriarTarefa                                        pmo_AssistentePMO_V2.action.PMO_PA_CriarTarefa
9c2b5b5e-8e05-405f-a3e6-a140358624ff ecc4c296-dee3-f011-8544-7c1e52611093 Profile Summary                           Tema (V2)        Activado      08a22b21-d7d3-ef11-a730-6045bd00cb12 Activado     Adaptive Card | Profile Summary                           cat_adaptiveCardGallery.topic.ProfileSummary
8db93d89-687b-47e8-abe6-a0ca35f8cfb7 d4c4c296-dee3-f011-8544-7c1e52611093 Account Summary                           Tema (V2)        Activado      0f468fd0-1dcf-ef11-8ee9-000d3a5ccf2d Activado     Adaptive Card | Account Summary                           cat_adaptiveCardGallery.topic.AccountSummary
1d9a1e0a-b570-4908-8133-c0a43467e630 f0011a8a-dee3-f011-8544-7c1e52611093 Order Confirmation                        Tema (V2)        Activado      7cebd225-e3d3-ef11-a730-6045bd00cb12 Activado     Adaptive Card | Order Confirmation                        cat_adaptiveCardGallery.topic.OrderConfirmation
